#: table_doi: 10.17182/hepdata.111124.v2/t13
#: name: Table 13
#: description: The $m(HH)$ distributions in the boosted $2b$ signal regions (dots), after the fit under the background-only hypothesis. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background model (stacked histogram) is shown with its total post-fit uncertainty (gray band). The uncertainty bands are defined using an ensemble of curves constructed by sampling a multivariate Gaussian probability density function built from the covariance matrix of the fit. Representative spin-0 signal hypotheses (dashed and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. No significant excess of data relative to the SM background is observed.
#: data_file: data13_boosted_sr_2b_mhh_spin0.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: Data,,,Events / 100 GeV
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 2b Signal Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data,error +,error -
4150.0,4100.0,4200.0,0.08291294425725937
4250.0,4200.0,4300.0,0.07484011352062225
4350.0,4300.0,4400.0,0.06819313764572144
4450.0,4400.0,4500.0,0.06271521747112274
4550.0,4500.0,4600.0,0.05820641666650772
4650.0,4600.0,4700.0,0.054510656744241714
4750.0,4700.0,4800.0,0.05150608718395233
4850.0,4800.0,4900.0,0.04909786581993103
4950.0,4900.0,5000.0,0.047212839126586914
5050.0,5000.0,5100.0,0.045795511454343796
5150.0,5100.0,5200.0,0.044805169105529785

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Total Background [Events / 100 GeV],error +,error -
850.0,800.0,900.0,1603.3515625,400.4187299587243,-400.4187299587243
950.0,900.0,1000.0,2753.163818359375,16.286299041797974,-16.286299041797974
1050.0,1000.0,1100.0,2161.491455078125,30.993885731109458,-30.993885731109458
1150.0,1100.0,1200.0,1234.959716796875,11.026533016430676,-11.026533016430676
1250.0,1200.0,1300.0,661.9463500976562,24.52554017110515,-24.52554017110515
1350.0,1300.0,1400.0,380.64276123046875,18.8695385354074,-18.8695385354074
1450.0,1400.0,1500.0,222.9930419921875,7.218838211188142,-7.218838211188142
1550.0,1500.0,1600.0,132.90066528320312,5.383456277591279,-5.383456277591279
1650.0,1600.0,1700.0,81.25181579589844,3.5009270686366563,-3.5009270686366563
1750.0,1700.0,1800.0,50.867706298828125,2.5687264165151475,-2.5687264165151475
1850.0,1800.0,1900.0,32.574649810791016,1.8880461933145014,-1.8880461933145014
1950.0,1900.0,2000.0,21.30712890625,1.5912288234751486,-1.5912288234751486
2050.0,2000.0,2100.0,14.213983535766602,1.1811594799992449,-1.1811594799992449
2150.0,2100.0,2200.0,9.660377502441406,0.902749608019878,-0.902749608019878
2250.0,2200.0,2300.0,6.609705924987793,0.6953587330015907,-0.6953587330015907
2350.0,2300.0,2400.0,4.545805931091309,0.5529584609591494,-0.5529584609591494
2450.0,2400.0,2500.0,3.2118852138519287,0.4070668111822613,-0.4070668111822613
2550.0,2500.0,2600.0,2.3319783210754395,0.3061678726521846,-0.3061678726521846
