#: table_doi: 10.17182/hepdata.111124.v2/t16
#: name: Table 16
#: description: The $m(HH)$ distributions in the boosted $3b$ signal regions (dots), after the fit under the background-only hypothesis. The error bars on the data points represent the Poisson uncertainties corresponding to their event yields. The background model (stacked histogram) is shown with its total post-fit uncertainty (gray band). The uncertainty bands are defined using an ensemble of curves constructed by sampling a multivariate Gaussian probability density function built from the covariance matrix of the fit. Representative spin-2 signal hypotheses (dashed and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. No significant excess of data relative to the SM background is observed.
#: data_file: data16_boosted_sr_3b_mhh_spin2.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: Data,,,Events / 100 GeV
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,139
#: Process,,,Boosted 3b Signal Region Data
m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Data,error +,error -
3550.0,3500.0,3600.0,0.011876670643687248
3650.0,3600.0,3700.0,0.00924341008067131
3750.0,3700.0,3800.0,0.007249960210174322
3850.0,3800.0,3900.0,0.0057284035719931126
3950.0,3900.0,4000.0,0.00455766636878252
4050.0,4000.0,4100.0,0.003649744438007474
4150.0,4100.0,4200.0,0.002940164878964424
4250.0,4200.0,4300.0,0.002381336409598589
4350.0,4300.0,4400.0,0.001937868888489902
4450.0,4400.0,4500.0,0.0015832559438422322
4550.0,4500.0,4600.0,0.0012975042918697
4650.0,4600.0,4700.0,0.0010654276702553034
4750.0,4700.0,4800.0,0.0008754099835641682
4850.0,4800.0,4900.0,0.0007185022113844752
4950.0,4900.0,5000.0,0.0005877574440091848
5050.0,5000.0,5100.0,0.0004777393478434533
5150.0,5100.0,5200.0,0.00038415376911871135

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,Total Background [Events / 100 GeV],error +,error -
850.0,800.0,900.0,270.6223449707031,164.50603295484345,-164.50603295484345
950.0,900.0,1000.0,487.9424133300781,14.543132807349195,-14.543132807349195
1050.0,1000.0,1100.0,392.6121826171875,3.9975006336759407,-3.9975006336759407
1150.0,1100.0,1200.0,228.33140563964844,4.481074862568903,-4.481074862568903
1250.0,1200.0,1300.0,121.95340728759766,8.101717783980604,-8.101717783980604
1350.0,1300.0,1400.0,67.10063934326172,2.9093613721584433,-2.9093613721584433
1450.0,1400.0,1500.0,37.916954040527344,0.20660153296635997,-0.20660153296635997
1550.0,1500.0,1600.0,22.02459716796875,0.3720815698411215,-0.3720815698411215
1650.0,1600.0,1700.0,13.114245414733887,0.515770141548419,-0.515770141548419
1750.0,1700.0,1800.0,7.986242294311523,0.48166655801831126,-0.48166655801831126
1850.0,1800.0,1900.0,4.964457035064697,0.36408114878307885,-0.36408114878307885
1950.0,1900.0,2000.0,3.145035743713379,0.27273850747403827,-0.27273850747403827
2050.0,2000.0,2100.0,2.0276882648468018,0.20152932186355033,-0.20152932186355033
2150.0,2100.0,2200.0,1.328859806060791,0.15290664514665053,-0.15290664514665053
2250.0,2200.0,2300.0,0.8843175172805786,0.12142487702805282,-0.12142487702805282
2350.0,2300.0,2400.0,0.5970266461372375,0.09220264784749177,-0.09220264784749177
2450.0,2400.0,2500.0,0.40859052538871765,0.07265543784111905,-0.07265543784111905
2550.0,2500.0,2600.0,0.2832595705986023,0.06438913413121206,-0.06438913413121206
2650.0,2600.0,2700.0,0.1987966001033783,0.05540686982419918,-0.05540686982419918
2750.0,2700.0,2800.0,0.14116160571575165,0.047575979266694574,-0.047575979266694574
2850.0,2800.0,2900.0,0.10136475414037704,0.0396972058336057,-0.0396972058336057
2950.0,2900.0,3000.0,0.0735732764005661,0.033277914091670246,-0.033277914091670246
3050.0,3000.0,3100.0,0.05395517125725746,0.02894579925145531,-0.02894579925145531
3150.0,3100.0,3200.0,0.03996285796165466,0.024427862957479785,-0.024427862957479785
3250.0,3200.0,3300.0,0.029883522540330887,0.02098734538725472,-0.02098734538725472
3350.0,3300.0,3400.0,0.02255316451191902,0.01839494030721313,-0.01839494030721313
3450.0,3400.0,3500.0,0.017172619700431824,0.016355835616469375,-0.016355835616469375
3550.0,3500.0,3600.0,0.013187827542424202,0.014908953922822724,-0.014908953922822724
3650.0,3600.0,3700.0,0.010211032815277576,0.013498243780398024,-0.013498243780398024
3750.0,3700.0,3800.0,0.007968428544700146,0.012025465994795322,-0.012025465994795322
3850.0,3800.0,3900.0,0.006264986004680395,0.010884334689286151,-0.010884334689286151
3950.0,3900.0,4000.0,0.00496063195168972,0.010165852551451113,-0.010165852551451113
4050.0,4000.0,4100.0,0.00395395141094923,0.009208569242843459,-0.009208569242843459
4150.0,4100.0,4200.0,0.0031709466129541397,0.008454953787516841,-0.008454953787516841
4250.0,4200.0,4300.0,0.0025572150480002165,0.007924444118271999,-0.007924444118271999
4350.0,4300.0,4400.0,0.0020724674686789513,0.007537330003435247,-0.007537330003435247
4450.0,4400.0,4500.0,0.0016866510268300772,0.007172293156437701,-0.007172293156437701
4550.0,4500.0,4600.0,0.0013771913945674896,0.0068587001214074576,-0.0068587001214074576
4650.0,4600.0,4700.0,0.0011270120739936829,0.006561064822601012,-0.006561064822601012
4750.0,4700.0,4800.0,0.0009231053991243243,0.006307767728482746,-0.006307767728482746
4850.0,4800.0,4900.0,0.0007554916664958,0.006067782547158032,-0.006067782547158032
4950.0,4900.0,5000.0,0.0006164578953757882,0.005835985745482749,-0.005835985745482749
5050.0,5000.0,5100.0,0.0004999939119443297,0.005650992839132038,-0.005650992839132038
5150.0,5100.0,5200.0,0.0004013746220152825,0.005501778133105086,-0.005501778133105086

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,2 TeV Spin-2 Signal [Events / 100 GeV]
850.0,800.0,900.0,0.002246266060525364
950.0,900.0,1000.0,0.010338947559177651
1050.0,1000.0,1100.0,0.0075082855046529175
1150.0,1100.0,1200.0,0.021376229019325215
1250.0,1200.0,1300.0,0.030685534496380788
1350.0,1300.0,1400.0,0.05946467302160379
1450.0,1400.0,1500.0,0.08523766117795618
1550.0,1500.0,1600.0,0.17750610413053144
1650.0,1600.0,1700.0,0.39741052842322466
1750.0,1700.0,1800.0,0.8812537568728592
1850.0,1800.0,1900.0,1.6345012630858364
1950.0,1900.0,2000.0,2.1560130131292286
2050.0,2000.0,2100.0,1.422464962338369
2150.0,2100.0,2200.0,0.46462410817454014
2250.0,2200.0,2300.0,0.15755540804960602
2350.0,2300.0,2400.0,0.06862609036251721
2450.0,2400.0,2500.0,0.037248365871060785
2550.0,2500.0,2600.0,0.024499701212185414
2650.0,2600.0,2700.0,0.012799978160078579
2750.0,2700.0,2800.0,0.012435338614922143
2850.0,2800.0,2900.0,0.011594582669130481
2950.0,2900.0,3000.0,0.010308036872525374
3050.0,3000.0,3100.0,0.0063664383255450305
3150.0,3100.0,3200.0,0.003024638814149287
3250.0,3200.0,3300.0,0.002652136154490238
3350.0,3300.0,3400.0,0.001098355999020483
3450.0,3400.0,3500.0,0.0003041245157230019
3550.0,3500.0,3600.0,0.0014236984464876322
3650.0,3600.0,3700.0,-
3750.0,3700.0,3800.0,0.00010860710730109698
3850.0,3800.0,3900.0,0.0002327706118613272
3950.0,3900.0,4000.0,-
4050.0,4000.0,4100.0,-
4150.0,4100.0,4200.0,-
4250.0,4200.0,4300.0,-
4350.0,4300.0,4400.0,-
4450.0,4400.0,4500.0,-
4550.0,4500.0,4600.0,-
4650.0,4600.0,4700.0,-
4750.0,4700.0,4800.0,-
4850.0,4800.0,4900.0,-
4950.0,4900.0,5000.0,-
5050.0,5000.0,5100.0,-
5150.0,5100.0,5200.0,-

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,3 TeV Spin-2 Signal [Events / 100 GeV]
850.0,800.0,900.0,0.00036863259978405936
950.0,900.0,1000.0,0.0014056598165301255
1050.0,1000.0,1100.0,0.002124833093470793
1150.0,1100.0,1200.0,0.0041098985280139735
1250.0,1200.0,1300.0,0.008869909874182829
1350.0,1300.0,1400.0,0.00574274185832254
1450.0,1400.0,1500.0,0.009902473348802846
1550.0,1500.0,1600.0,0.012130541850128882
1650.0,1600.0,1700.0,0.010967038999752843
1750.0,1700.0,1800.0,0.014245669185047062
1850.0,1800.0,1900.0,0.021469966988158284
1950.0,1900.0,2000.0,0.023690065107728395
2050.0,2000.0,2100.0,0.0298825146496936
2150.0,2100.0,2200.0,0.041770334530720446
2250.0,2200.0,2300.0,0.052584348751235424
2350.0,2300.0,2400.0,0.08678761876147938
2450.0,2400.0,2500.0,0.12553296765476146
2550.0,2500.0,2600.0,0.18992448869644962
2650.0,2600.0,2700.0,0.2826809108159341
2750.0,2700.0,2800.0,0.41278477893445337
2850.0,2800.0,2900.0,0.5139986602247835
2950.0,2900.0,3000.0,0.5501934865366809
3050.0,3000.0,3100.0,0.3553724560670676
3150.0,3100.0,3200.0,0.15298088597568565
3250.0,3200.0,3300.0,0.06784711038452403
3350.0,3300.0,3400.0,0.023307627709984
3450.0,3400.0,3500.0,0.013939616435709117
3550.0,3500.0,3600.0,0.005172412387392756
3650.0,3600.0,3700.0,0.005367729363106284
3750.0,3700.0,3800.0,0.003673580072185376
3850.0,3800.0,3900.0,0.0020904765062937937
3950.0,3900.0,4000.0,0.0011104409366596512
4050.0,4000.0,4100.0,0.002314966810889353
4150.0,4100.0,4200.0,0.001460853334829806
4250.0,4200.0,4300.0,7.418521351071038e-05
4350.0,4300.0,4400.0,0.00041034964455289685
4450.0,4400.0,4500.0,0.0006868152079801962
4550.0,4500.0,4600.0,0.0002026008212103854
4650.0,4600.0,4700.0,-
4750.0,4700.0,4800.0,-
4850.0,4800.0,4900.0,-
4950.0,4900.0,5000.0,-
5050.0,5000.0,5100.0,-
5150.0,5100.0,5200.0,-

m(HH) [GeV],m(HH) [GeV] LOW,m(HH) [GeV] HIGH,4 TeV Spin-2 Signal [Events / 100 GeV]
850.0,800.0,900.0,-
950.0,900.0,1000.0,0.002748029303511604
1050.0,1000.0,1100.0,0.004734618989379581
1150.0,1100.0,1200.0,0.004114763511047249
1250.0,1200.0,1300.0,0.008527868510648495
1350.0,1300.0,1400.0,0.010725024117491572
1450.0,1400.0,1500.0,0.009622730863275713
1550.0,1500.0,1600.0,0.012143830297534748
1650.0,1600.0,1700.0,0.015375019657959248
1750.0,1700.0,1800.0,0.017142469018440968
1850.0,1800.0,1900.0,0.01936351833130281
1950.0,1900.0,2000.0,0.019677475931887078
2050.0,2000.0,2100.0,0.01991873508292789
2150.0,2100.0,2200.0,0.028539426712369618
2250.0,2200.0,2300.0,0.027116816359231497
2350.0,2300.0,2400.0,0.029335041501344607
2450.0,2400.0,2500.0,0.029443264558400257
2550.0,2500.0,2600.0,0.030503905529577963
2650.0,2600.0,2700.0,0.035124730058686465
2750.0,2700.0,2800.0,0.03623912887060188
2850.0,2800.0,2900.0,0.045428733892375714
2950.0,2900.0,3000.0,0.04834241876835365
3050.0,3000.0,3100.0,0.055958706019578926
3150.0,3100.0,3200.0,0.0726799072283609
3250.0,3200.0,3300.0,0.09196340033955937
3350.0,3300.0,3400.0,0.11297508029776622
3450.0,3400.0,3500.0,0.1249083211935764
3550.0,3500.0,3600.0,0.1761955201074001
3650.0,3600.0,3700.0,0.23248741560613045
3750.0,3700.0,3800.0,0.29307640956035563
3850.0,3800.0,3900.0,0.30945400684341745
3950.0,3900.0,4000.0,0.2540378074833009
4050.0,4000.0,4100.0,0.18188150236066428
4150.0,4100.0,4200.0,0.10254537808586836
4250.0,4200.0,4300.0,0.04572088958551638
4350.0,4300.0,4400.0,0.021347667409254846
4450.0,4400.0,4500.0,0.006915609791017631
4550.0,4500.0,4600.0,0.006040033262321289
4650.0,4600.0,4700.0,0.0029821765448716587
4750.0,4700.0,4800.0,0.001424814638513801
4850.0,4800.0,4900.0,0.0014661984806883604
4950.0,4900.0,5000.0,0.0006384497406672537
5050.0,5000.0,5100.0,0.0013259323235139122
5150.0,5100.0,5200.0,0.0009479685675564365

