#: table_doi: 10.17182/hepdata.111124.v2/t3
#: name: Table 3
#: description: Corrected $m(HH)$ distribution in the resolved $4b$ validation region (dots), compared with the reweighted distribution in $2b$ validation region (teal histogram). The error bars on the $4b$ points represent the Poisson uncertainties corresponding to their event yields. The final bin includes overflow. The background uncertainty (gray band) is computed by adding all individual components in quadrature. The bottom panel shows the difference between the $4b$ and reweighted $2b$ distributions, relative to the $2b$ distribution.
#: data_file: data3_resolved_vr_mhh.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Resolved 4b Validation Region Data
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Data [Events / 14.3 GeV],error +,error -
400.0,392.86,407.14,1837.88,29.59,-29.59
414.28499999999997,407.14,421.43,1742.91,26.98,-26.98
428.57,421.43,435.71,1593.21,25.22,-25.22
442.855,435.71,450.0,1449.6,25.76,-25.76
457.145,450.0,464.29,1278.89,25.3,-25.3
471.43,464.29,478.57,1158.64,25.2,-25.2
485.71500000000003,478.57,492.86,1018.2,24.41,-24.41
500.0,492.86,507.14,891.93,22.72,-22.72
514.285,507.14,521.43,793.83,21.56,-21.56
528.5699999999999,521.43,535.71,706.58,19.44,-19.44
542.855,535.71,550.0,617.93,18.28,-18.28
557.145,550.0,564.29,545.96,18.52,-18.52
571.4300000000001,564.29,578.57,485.01,16.35,-16.35
585.715,578.57,592.86,432.13,14.98,-14.98
600.0,592.86,607.14,388.18,13.59,-13.59
614.285,607.14,621.43,356.26,14.22,-14.22
628.5699999999999,621.43,635.71,308.94,11.7,-11.7
642.855,635.71,650.0,277.95,11.58,-11.58
657.145,650.0,664.29,252.08,10.41,-10.41
671.4300000000001,664.29,678.57,225.61,9.47,-9.47
685.715,678.57,692.86,202.81,8.82,-8.82
700.0,692.86,707.14,178.58,7.92,-7.92
714.285,707.14,721.43,164.32,7.69,-7.69
728.5699999999999,721.43,735.71,147.13,6.68,-6.68
742.855,735.71,750.0,136.71,7.07,-7.07
757.145,750.0,764.29,124.05,6.05,-6.05
771.4300000000001,764.29,778.57,110.94,5.49,-5.49
785.715,778.57,792.86,100.14,5.01,-5.01
800.0,792.86,807.14,92.71,4.83,-4.83
814.285,807.14,821.43,84.25,4.41,-4.41
828.5699999999999,821.43,835.71,70.76,3.8,-3.8
842.855,835.71,850.0,70.19,4.3,-4.3
857.145,850.0,864.29,60.69,3.68,-3.68
871.4300000000001,864.29,878.57,59.22,3.51,-3.51
885.715,878.57,892.86,51.02,3.29,-3.29
900.0,892.86,907.14,46.61,2.85,-2.85
914.285,907.14,921.43,43.23,2.69,-2.69
928.5699999999999,921.43,935.71,37.83,2.38,-2.38
942.855,935.71,950.0,35.52,2.37,-2.37
957.145,950.0,964.29,31.71,2.03,-2.03
971.4300000000001,964.29,978.57,30.42,1.98,-1.98
985.715,978.57,992.86,26.01,1.83,-1.83
1000.0,992.86,1007.14,23.71,1.67,-1.67
1014.285,1007.14,1021.43,21.17,1.51,-1.51
1028.57,1021.43,1035.71,19.0,1.36,-1.36
1042.855,1035.71,1050.0,17.9,1.43,-1.43
1057.145,1050.0,1064.29,15.38,1.16,-1.16
1071.4299999999998,1064.29,1078.57,13.68,1.08,-1.08
1085.715,1078.57,1092.86,11.99,1.22,-1.22
1100.0,1092.86,1107.14,10.9,0.99,-0.99
1114.285,1107.14,1121.43,9.66,0.85,-0.85
1128.5700000000002,1121.43,1135.71,8.68,0.83,-0.83
1142.855,1135.71,1150.0,7.39,0.67,-0.67
1157.145,1150.0,1164.29,6.32,0.61,-0.61
1171.4299999999998,1164.29,1178.57,5.21,0.52,-0.52
1185.715,1178.57,1192.86,5.7,0.63,-0.63
1200.0,1192.86,1207.14,4.14,0.46,-0.46
1214.285,1207.14,1221.43,4.43,0.48,-0.48
1228.5700000000002,1221.43,1235.71,2.92,0.35,-0.35
1242.855,1235.71,1250.0,2.59,0.34,-0.34
1257.145,1250.0,1264.29,2.36,0.31,-0.31
1271.4299999999998,1264.29,1278.57,2.13,0.32,-0.32
1285.715,1278.57,1292.86,2.05,0.29,-0.29
1300.0,1292.86,1307.14,1.38,0.22,-0.22
1314.285,1307.14,1321.43,1.66,0.27,-0.27
1328.5700000000002,1321.43,1335.71,1.42,0.26,-0.26
1342.855,1335.71,1350.0,1.29,0.31,-0.31
1357.145,1350.0,1364.29,0.97,0.17,-0.17
1371.4299999999998,1364.29,1378.57,0.63,0.12,-0.12
1385.715,1378.57,1392.86,0.8,0.17,-0.17
1400.0,1392.86,1407.14,0.42,0.09,-0.09
1414.285,1407.14,1421.43,0.32,0.09,-0.09
1428.5700000000002,1421.43,1435.71,0.68,0.2,-0.2
1442.855,1435.71,1450.0,1.97,0.23,-0.23

